timestamp,attack_type,src_ip,dst_ip,dst_port,protocol,info
1752521519.985029,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521519.985254,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.061284,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.091749,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521520.138691,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.21796,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.253853,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521520.290527,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.309631,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521520.376785,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.480531,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.506925,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521520.557997,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.602862,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521520.635759,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.711499,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.787991,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.842677,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521520.860116,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521520.889584,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521520.934525,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.013754,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.05415,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521521.085898,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.140304,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.215219,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.247466,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521521.295168,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.37255,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521521.374664,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521521.39802,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521523.131083,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521523.21878,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521523.297424,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521523.307966,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521523.367415,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521523.434,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521523.450527,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521523.491147,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521523.491347,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521523.554973,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521526.367064,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521526.442052,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521526.522706,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521526.527332,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521526.598603,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
